meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,missing.cage,notes
19,70,control,pellicer,butler,away,3,8/17/19,initial,2,red,1,9,,
9,71,cage,pellicer,butler,away,3,8/17/19,initial,3,blue,1,5,,
9,71,cage,pellicer,butler,away,3,8/17/19,initial,3,purple,1,13,,
9,71,cage,pellicer,butler,away,3,8/17/19,initial,3,red,1,9,,
11,73,control,pellicer,butler,away,3,8/17/19,initial,1,blue,1,7,,
11,73,control,pellicer,butler,away,3,8/17/19,initial,1,purple,1,5,,
11,73,control,pellicer,butler,away,3,8/17/19,initial,1,red,1,7,,
13,80,cage,pellicer,butler,away,3,8/17/19,initial,2,blue,1,8,,
13,80,cage,pellicer,butler,away,3,8/17/19,initial,2,purple,1,12,,
13,80,cage,pellicer,butler,away,3,8/17/19,initial,2,red,1,7,,
15,82,control,butler,butler,home,3,8/17/19,initial,2,blue,1,15,,
15,82,control,butler,butler,home,3,8/17/19,initial,2,purple,1,9,,
15,82,control,butler,butler,home,3,8/17/19,initial,2,red,1,17,,
4,83,control,pellicer,butler,away,3,8/17/19,initial,3,blue,1,14,,
4,83,control,pellicer,butler,away,3,8/17/19,initial,3,purple,1,11,,
4,83,control,pellicer,butler,away,3,8/17/19,initial,3,red,1,17,,
7,84,control,butler,butler,home,3,8/17/19,initial,3,blue,1,10,,
7,84,control,butler,butler,home,3,8/17/19,initial,3,purple,1,5,,
7,84,control,butler,butler,home,3,8/17/19,initial,3,red,1,10,,
8,87,control,butler,butler,home,3,8/17/19,initial,1,blue,1,4,,
8,87,control,butler,butler,home,3,8/17/19,initial,1,purple,1,4,,
8,87,control,butler,butler,home,3,8/17/19,initial,1,red,1,9,,
10,89,control,butler,butler,home,3,8/17/19,initial,2,blue,1,13,,
10,89,control,butler,butler,home,3,8/17/19,initial,2,purple,1,12,,
10,89,control,butler,butler,home,3,8/17/19,initial,2,red,1,10,,
2,90,control,pellicer,butler,away,3,8/17/19,initial,3,blue,1,12,,
2,90,control,pellicer,butler,away,3,8/17/19,initial,3,purple,1,8,,
